workerid	trial_type	fever	catchT	time_on_slide	info_types	question	disease	ans_chosen	item	expl	protein	workerId	screenH	screenUW	screenUH	cond	screenW	OS	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.condition	Answer.subj_data	Answer.time_on_training	Answer.undefined
0	catch	[]	1	0.303166666667	[]	[]	[]	right_ans	0	NA	[]	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	catch	[]	1	0.376166666667	[]	[]	[]	right_ans	1	NA	[]	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	catch	[]	1	0.394666666667	[]	[]	[]	right_ans	2	NA	[]	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	NA	0	0.264166666667	disease and protein	You know that an alien has Disease D and expresses Protein X. Why do they express Protein X?	D	NA	0	asdf	X	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	Y	0	0.228333333333	disease and fever	You know that an alien has Disease C and has a fever. Why do they have a fever?	C	NA	1	asdf	NA	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	Y	0	0.228	disease and fever	You know that an alien has Disease B and has a fever. Why do they have a fever?	B	NA	2	asdf	NA	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	catch	[]	1	0.232333333333	[]	[]	[]	right_ans	3	NA	[]	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	Y	0	0.322166666667	protein and fever	You know that an alien expresses Protein X and has a fever. Why do they have a fever?	NA	NA	3	asdf	X	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	NA	0	0.299	disease and protein	You know that an alien has Disease B and expresses Protein Y. Why do they express Protein Y?	B	NA	4	asdf	Y	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
0	critical	Y	0	0.2225	disease and fever	You know that an alien has Disease D and has a fever. Why do they have a fever?	D	NA	5	asdf	NA	A3H1Z3NHE4Q1DT	800	800	600	{u'dependent': u'text_box', u'independent': u'info/question'}	1280	Mac	Chrome	3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3BNVQ7CWENLOBV0ME0V3TOEV4C073Y	Alien Diseases	Learn about alien diseases and answer short questions about them	language research stanford fun cognitive science university explanations psychology	$0.00	Tue Jul 01 13:32:49 PDT 2014	1	0	0	0	Reviewable	NotReviewed	1 cond	1800	0	Thu Jul 31 13:32:49 PDT 2014	https://requestersandbox.mturk.com/mturk/manageHIT?HITId=3DW3BNF1GHUSXRZ5ENOZ639GTHGV86	3DR23U6WE6QXGK21CXFLLFCZRI7ET7	0	Submitted	Tue Jul 01 13:33:50 PDT 2014	Tue Jul 01 13:33:16 PDT 2014	Tue Jul 01 13:33:50 PDT 2014						{"dependent":"text_box","independent":"info/question"}	[{"language":"English","enjoyment":"-1","age":"0","education":"-1","workerId":"A3H1Z3NHE4Q1DT"}]	[0.23766666666666666,0.19216666666666668,0.09866666666666667,0.108,0.09083333333333334]	{"cond":{"dependent":"text_box","independent":"info/question"},"phaseid":1,"phase":"thanks","t":"2014-7-1 13:33:49.919","t_start":"2014-07-01T20:33:49.919Z","catch":0}
